Symbol|Date|Open|High|Low|Close|Volume
AXP|1999-11-01|150.0000|151.1000|148.5000|149.0000|3521400
AXP|1999-11-02|149.3000|151.5000|147.1000|147.5000|2797067
AXP|1999-11-03|147.5000|148.4000|145.6000|147.0000|2731167
AXP|1999-11-04|148.0000|150.6000|145.9000|146.3000|2485200
AXP|1999-11-05|150.0000|151.3000|148.3000|149.8000|2028533
AXP|1999-11-08|150.6000|150.6000|146.3000|146.9000|2150000
AXP|1999-11-09|147.5000|148.4000|145.1000|146.1000|2560700
AXP|1999-11-10|146.1000|148.0000|144.8000|145.0000|2419733
AXP|1999-11-11|145.8000|146.9000|144.1000|145.8000|2355867
AXP|1999-11-12|148.5000|155.0000|148.1000|154.3000|2614633
AXP|1999-11-15|155.0000|157.9000|154.1000|157.3000|2356667
AXP|1999-11-16|158.5000|160.3000|155.2000|159.5000|3051400
AXP|1999-11-17|158.0000|158.5000|154.6000|154.6000|1495367
AXP|1999-11-18|156.5000|157.3000|154.8000|154.9000|2196933
AXP|1999-11-19|155.3000|156.9000|154.6000|155.0000|1295067
AXP|1999-11-22|154.5000|156.4000|153.8000|154.7000|1332900
AXP|1999-11-23|154.9000|157.1000|154.0000|155.4000|1869633
AXP|1999-11-24|155.0000|155.3000|153.0000|153.0000|1082233
AXP|1999-11-26|154.0000|154.3000|152.6000|152.6000|381000
AXP|1999-11-29|151.6000|151.6000|147.3000|147.8000|1685467
AXP|1999-11-30|148.0000|153.6000|148.0000|151.3000|2140500
AXP|1999-12-01|150.0000|153.5000|149.3000|152.8000|1671400
AXP|1999-12-02|154.0000|154.8000|152.0000|153.4000|1390133
AXP|1999-12-03|157.0000|159.4000|156.3000|157.3000|1764967
AXP|1999-12-06|157.0000|158.9000|155.8000|157.2000|1458667
AXP|1999-12-07|158.3000|159.9000|156.3000|158.9000|1994833
AXP|1999-12-08|158.5000|160.4000|157.0000|158.3000|1365000
AXP|1999-12-09|158.3000|162.8000|158.3000|159.8000|2215900
AXP|1999-12-10|161.8000|168.9000|161.1000|167.8000|2695967
AXP|1999-12-13|168.4000|168.4000|164.5000|166.3000|2047500
AXP|1999-12-14|163.5000|164.3000|160.5000|160.5000|1847567
AXP|1999-12-15|160.0000|161.0000|158.1000|158.2000|1808967
AXP|1999-12-16|157.2000|157.2000|151.6000|152.6000|2794567
AXP|1999-12-17|154.8100|156.1900|153.3800|155.1300|3177633
AXP|1999-12-20|156.5000|157.6000|153.1000|155.2000|1534767
AXP|1999-12-21|153.8000|159.9000|152.8000|157.8000|2524933
AXP|1999-12-22|157.6000|158.3000|155.4000|155.4000|902867
AXP|1999-12-23|155.4000|159.8000|155.4000|159.3000|989467
AXP|1999-12-27|159.3000|162.5000|158.3000|158.3000|1031867
AXP|1999-12-28|158.8000|163.7000|158.6000|161.8000|1312567
AXP|1999-12-29|162.5000|166.4000|162.4000|165.5000|1076400
AXP|1999-12-30|165.5000|168.0000|164.8000|165.8000|996433
AXP|1999-12-31|165.5000|168.0000|165.5000|166.3000|388300
AXP|2000-01-03|164.5000|164.5000|156.0000|157.2500|2157067
AXP|2000-01-04|155.3000|155.9000|149.1000|151.3000|3480267
AXP|2000-01-05|150.5000|153.1000|149.2000|150.3000|2882067
AXP|2000-01-06|145.5000|152.4000|145.5000|150.3000|3663633
AXP|2000-01-07|150.8000|153.5000|148.5000|152.4000|2005467
AXP|2000-01-10|153.0000|156.6000|151.9000|154.6000|1635433
AXP|2000-01-11|154.4000|160.0000|153.8000|156.0000|2386133
AXP|2000-01-12|155.9000|158.9000|153.4000|155.2000|1938967
AXP|2000-01-13|156.5000|158.3000|154.3000|156.0000|1943667
AXP|2000-01-14|157.9000|161.1000|157.7000|159.5000|2096867
AXP|2000-01-18|158.0000|158.0000|151.5000|151.6000|1955900
AXP|2000-01-19|153.5000|154.8000|148.8000|148.9000|2202900
AXP|2000-01-20|150.3000|154.6000|148.4000|151.4000|3770333
AXP|2000-01-21|153.0000|153.8000|150.9000|151.7000|2103600
AXP|2000-01-24|154.3000|158.0000|150.6000|152.0000|3343300
AXP|2000-01-25|151.6000|158.8000|151.6000|158.4000|3383500
AXP|2000-01-26|160.0000|164.1000|159.5000|159.8000|4398933
AXP|2000-01-27|161.0000|164.3000|160.1000|162.9000|2078467
AXP|2000-01-28|161.1000|162.3000|157.8000|158.3000|2403500
AXP|2000-01-31|157.0000|165.8000|156.8000|164.8000|2468967
AXP|2000-02-01|164.6000|169.5000|163.8000|169.0000|3093200
AXP|2000-02-02|168.5000|168.5000|163.6000|164.2000|2985600
AXP|2000-02-03|164.5000|165.5000|160.6000|162.9000|2484967
AXP|2000-02-04|162.9000|163.5000|160.6000|161.4000|1718367
AXP|2000-02-07|161.4000|163.9000|160.9000|162.4000|1490200
AXP|2000-02-08|163.5000|165.3000|162.8000|163.0000|1756167
AXP|2000-02-09|162.9000|162.9000|155.0000|156.6000|2394033
AXP|2000-02-10|156.6000|159.5000|153.6000|154.5000|1995400
AXP|2000-02-11|155.0000|158.1000|151.9000|153.5000|2173633
AXP|2000-02-14|153.5000|157.9000|153.5000|154.0000|1806100
AXP|2000-02-15|154.3000|159.6000|153.8000|159.1000|1556033
AXP|2000-02-16|156.5000|156.8000|152.1000|153.8000|2538900
AXP|2000-02-17|154.3000|155.5000|142.9000|147.9000|4733667
AXP|2000-02-18|147.9000|147.9000|135.4000|138.3000|5206200
AXP|2000-02-22|139.5000|140.3000|137.6000|139.1000|4593833
AXP|2000-02-23|139.0000|140.7000|136.7000|138.1000|3634067
AXP|2000-02-24|137.6000|138.6000|128.9000|130.0000|6620233
AXP|2000-02-25|131.1000|134.0000|124.0000|124.8000|5525400
AXP|2000-02-28|126.5000|135.5000|126.5000|132.6000|5453200
AXP|2000-02-29|136.0000|136.2000|131.5000|134.2000|2853633
AXP|2000-03-01|137.0000|137.4000|132.2000|135.5000|2596233
AXP|2000-03-02|137.0000|137.4000|132.4000|133.6000|2902533
AXP|2000-03-03|137.8000|138.4000|131.3000|133.5000|2925033
