Symbol|Date|Open|High|Low|Close|Volume
CRM|2004-06-23|15.0000|17.3000|14.7500|17.2000|10893600
CRM|2004-06-24|17.5500|17.6900|16.5000|16.7600|2221800
CRM|2004-06-25|16.5100|16.7500|15.7900|15.8000|1677500
CRM|2004-06-28|16.0000|16.2100|15.4360|16.0000|567700
CRM|2004-06-29|16.0000|16.7000|15.8300|16.4000|528000
CRM|2004-06-30|16.4000|16.9400|16.0300|16.0700|521900
CRM|2004-07-01|16.0800|16.2000|15.9000|16.0300|438700
CRM|2004-07-02|16.1000|16.9800|16.0500|16.9800|248300
CRM|2004-07-06|16.9300|17.0000|16.4800|17.0000|304200
CRM|2004-07-07|16.9000|16.9000|16.0500|16.3100|446900
CRM|2004-07-08|16.3100|16.3100|15.6600|15.7400|544800
CRM|2004-07-09|15.9400|16.5700|15.9000|16.4000|149200
CRM|2004-07-12|16.6000|16.8300|16.1500|16.7500|195200
CRM|2004-07-13|16.7400|16.7400|16.0800|16.0800|418500
CRM|2004-07-14|16.0500|16.0500|15.5800|15.6500|591500
CRM|2004-07-15|15.7500|15.8000|14.9400|15.3400|451500
CRM|2004-07-16|15.4000|16.4000|14.9600|16.0000|819700
CRM|2004-07-19|16.0500|16.1700|15.8300|16.0100|238700
CRM|2004-07-20|16.0100|16.1800|15.5300|16.0600|561300
CRM|2004-07-21|16.1000|16.1000|11.0500|11.7000|6353800
CRM|2004-07-22|11.5500|13.1800|11.3000|12.9800|2456200
CRM|2004-07-23|12.9500|13.5000|12.7500|13.0400|418600
CRM|2004-07-26|13.5500|13.5500|12.8800|13.2800|321500
CRM|2004-07-27|13.3800|13.4300|13.1000|13.1400|187800
CRM|2004-07-28|13.0500|13.2200|12.6000|12.9900|383700
CRM|2004-07-29|13.0000|13.3500|12.9500|12.9600|227000
CRM|2004-07-30|12.9600|13.2000|12.5500|13.0100|203800
CRM|2004-08-02|12.9800|13.0800|12.5700|12.8100|324400
CRM|2004-08-03|12.8000|13.0900|11.9900|12.1300|736100
CRM|2004-08-04|12.1300|12.1500|11.9500|11.9800|686700
CRM|2004-08-05|11.9900|11.9900|10.6800|10.9000|757600
CRM|2004-08-06|10.9000|11.0000|10.7100|10.7700|449300
CRM|2004-08-09|10.9500|11.0500|10.8600|10.9900|280400
CRM|2004-08-10|11.0000|11.0400|10.8800|11.0000|183300
CRM|2004-08-11|10.9500|10.9500|10.5900|10.6200|157100
CRM|2004-08-12|10.7200|10.7300|9.9200|9.9900|394500
CRM|2004-08-13|9.9900|10.0500|9.4700|9.5900|624000
CRM|2004-08-16|9.6000|9.8500|9.0000|9.7200|542800
CRM|2004-08-17|9.8800|10.9900|9.8800|10.9700|742000
CRM|2004-08-18|10.9000|12.1500|10.6800|11.9500|424400
CRM|2004-08-19|11.9500|12.2500|11.7000|12.1700|327400
CRM|2004-08-20|12.5000|13.2000|11.8900|12.6000|1008700
CRM|2004-08-23|12.7000|12.9500|12.3600|12.5000|281900
CRM|2004-08-24|12.6000|12.7800|12.4200|12.7700|268100
CRM|2004-08-25|12.8000|13.0500|12.5000|12.9600|300200
CRM|2004-08-26|12.9700|13.0000|12.8100|12.9000|117800
CRM|2004-08-27|13.0000|13.2100|12.9000|13.1500|115900
CRM|2004-08-30|13.2200|13.2600|13.0600|13.1700|151500
CRM|2004-08-31|13.2000|13.2500|12.7000|13.0000|218600
CRM|2004-09-01|13.2000|13.3300|13.1600|13.3300|128200
CRM|2004-09-02|13.2800|13.9700|13.2800|13.8900|249700
CRM|2004-09-03|13.9000|13.9400|13.6200|13.7500|231000
CRM|2004-09-07|13.7600|13.7600|13.4000|13.4300|298000
CRM|2004-09-08|13.3300|13.3300|13.1500|13.2400|137500
CRM|2004-09-09|13.2400|13.3000|12.9700|13.1700|632300
CRM|2004-09-10|13.1500|14.3000|13.1500|14.2500|698800
CRM|2004-09-13|14.4000|15.5000|14.4000|15.2000|1086300
CRM|2004-09-14|15.2000|16.0900|15.0000|15.9100|513000
CRM|2004-09-15|15.9200|17.1400|15.7000|16.3400|1036800
CRM|2004-09-16|16.3500|16.4900|16.0600|16.2600|629600
CRM|2004-09-17|16.2000|16.2100|14.8400|15.6700|1121900
CRM|2004-09-20|15.7500|16.1000|15.6900|16.0100|149300
CRM|2004-09-21|16.0500|16.9000|16.0500|16.3600|581800
CRM|2004-09-22|16.3000|16.3000|15.8100|16.0700|519200
CRM|2004-09-23|16.0700|16.0700|15.6500|15.7100|279400
CRM|2004-09-24|15.9600|16.8500|15.8000|16.0400|699000
CRM|2004-09-27|16.0000|16.0700|15.5100|15.5900|345000
CRM|2004-09-28|15.5200|15.5400|14.7700|15.0000|465700
CRM|2004-09-29|15.0500|15.8700|15.0500|15.7500|425100
CRM|2004-09-30|15.7500|15.9100|15.6200|15.6300|1130300
CRM|2004-10-01|15.6300|16.7800|15.5200|16.6500|653400
CRM|2004-10-04|17.1500|17.8400|16.5600|16.8700|788300
CRM|2004-10-05|16.8800|17.1200|16.6000|16.9000|340200
CRM|2004-10-06|16.9000|17.2500|16.4900|17.2500|358400
CRM|2004-10-07|17.9000|18.8200|17.6100|18.5000|1471800
CRM|2004-10-08|18.4600|18.4600|17.4700|17.6200|632100
CRM|2004-10-11|17.6400|18.3500|17.6000|18.1800|266200
CRM|2004-10-12|18.0000|18.3900|17.6700|18.3900|224300
CRM|2004-10-13|18.6000|19.2300|18.4100|18.5000|432000
CRM|2004-10-14|18.5000|18.7500|17.8500|17.9900|261800
CRM|2004-10-15|18.0600|18.2400|17.6000|17.9800|236700
CRM|2004-10-18|17.9000|18.3000|17.6500|18.2900|173200
CRM|2004-10-19|18.3500|18.4400|18.1200|18.2300|155600
CRM|2004-10-20|18.1300|18.2600|17.9000|18.1500|190200
CRM|2004-10-21|18.1700|18.6800|18.0400|18.4000|180400
CRM|2004-10-22|18.5000|18.5800|17.2500|17.4000|279200
