Symbol|Date|Open|High|Low|Close|Volume
HD|1999-11-01|75.6300|77.0600|75.5600|76.2500|3602800
HD|1999-11-02|77.0000|77.5000|75.7500|77.0000|3789400
HD|1999-11-03|76.7500|76.9400|74.8800|75.2500|3053000
HD|1999-11-04|76.3100|76.9400|75.6900|76.0000|2250667
HD|1999-11-05|77.0000|78.7500|77.0000|78.0000|3704400
HD|1999-11-08|78.0000|79.4400|77.5600|79.1300|3963267
HD|1999-11-09|78.5600|80.0000|76.3100|80.0000|6376000
HD|1999-11-10|77.7500|78.0000|76.9400|77.1900|4324667
HD|1999-11-11|77.3800|78.9400|77.0600|78.8100|2483667
HD|1999-11-12|79.4400|80.6300|78.8100|80.4400|3155067
HD|1999-11-15|80.8100|80.8100|77.9400|78.7500|4470000
HD|1999-11-16|78.7500|80.3800|77.8800|80.3800|4448067
HD|1999-11-17|80.1300|81.6300|79.8100|79.9400|3999667
HD|1999-11-18|80.2500|83.5000|80.0600|83.0000|6823800
HD|1999-11-19|82.4400|83.0000|81.4400|82.2500|4187667
HD|1999-11-22|82.8800|82.8800|80.4400|81.5000|3649267
HD|1999-11-23|80.0600|81.2500|79.8100|80.6900|3493400
HD|1999-11-24|80.4400|80.7500|79.0600|79.5000|2912667
HD|1999-11-26|79.8800|80.5000|79.7500|80.5000|1236200
HD|1999-11-29|80.3100|80.6300|79.5600|80.0000|2724200
HD|1999-11-30|80.8100|81.0000|79.0000|79.1900|3068800
HD|1999-12-01|79.6900|81.3800|79.3800|81.3100|3446667
HD|1999-12-02|81.2500|82.5000|80.2500|81.2700|3595067
HD|1999-12-03|83.0000|84.3800|82.8100|84.2500|4721800
HD|1999-12-06|84.1900|84.1900|82.7500|83.3500|2636800
HD|1999-12-07|83.4400|83.8800|82.6300|83.2500|2950000
HD|1999-12-08|83.6900|85.5000|83.0600|84.2900|3799667
HD|1999-12-09|83.2500|87.3800|83.2500|87.2500|6136067
HD|1999-12-10|88.0000|89.4400|87.8100|89.0000|5247800
HD|1999-12-13|89.9400|93.0000|89.6300|91.1100|6056400
HD|1999-12-14|92.3100|92.8800|90.9400|92.5000|5036867
HD|1999-12-15|91.0000|93.7500|90.6300|93.5000|6807000
HD|1999-12-16|93.6300|96.7500|93.1300|96.6900|5135200
HD|1999-12-17|96.9400|98.7500|96.8100|98.7500|9681200
HD|1999-12-20|98.5000|98.8100|95.7500|98.4700|4673667
HD|1999-12-21|96.2500|96.8100|94.8800|95.8000|3308867
HD|1999-12-22|96.4400|97.1900|95.0600|96.3100|2324067
