Symbol|Date|Open|High|Low|Close|Volume
JNJ|1999-11-01|105.3000|106.7000|105.0000|105.1000|2852100
JNJ|1999-11-02|105.1000|106.1000|102.3000|102.5000|3691300
JNJ|1999-11-03|104.0000|105.1000|103.5000|104.3000|2498800
JNJ|1999-11-04|105.0000|106.0000|104.9000|105.3000|3183100
JNJ|1999-11-05|106.0000|106.7000|105.3000|105.5000|3442600
JNJ|1999-11-08|105.6000|105.9000|103.9000|104.4000|2241800
JNJ|1999-11-09|105.4000|105.4000|103.3000|103.6000|2106400
JNJ|1999-11-10|102.5000|103.5000|102.3000|103.0000|2689100
JNJ|1999-11-11|103.1000|104.0000|102.9000|103.8000|1388400
JNJ|1999-11-12|104.0000|104.3000|102.3000|103.8000|1496700
JNJ|1999-11-15|103.8000|103.9000|102.6000|103.5000|1611500
JNJ|1999-11-16|104.3000|106.1000|104.1000|106.1000|2940000
JNJ|1999-11-17|105.9000|106.9000|105.4000|105.6000|2457200
JNJ|1999-11-18|104.9000|105.0000|103.6000|104.4000|1733200
JNJ|1999-11-19|104.4000|105.2000|103.8000|105.2000|1531500
JNJ|1999-11-22|105.1000|105.8000|104.4000|105.3000|1644500
JNJ|1999-11-23|104.9000|104.9000|103.5000|104.0000|2105600
JNJ|1999-11-24|103.6000|104.9000|103.6000|104.8000|1801200
JNJ|1999-11-26|105.0000|105.1000|103.2000|103.2000|671200
JNJ|1999-11-29|103.0000|105.3000|101.8000|105.1000|2038400
JNJ|1999-11-30|104.3000|104.7000|103.6000|103.8000|1730500
JNJ|1999-12-01|103.3000|103.4000|101.1000|102.5000|2292600
JNJ|1999-12-02|101.2000|101.3000|99.0000|100.1000|3267000
JNJ|1999-12-03|99.0000|99.4400|96.1300|97.2500|6360500
JNJ|1999-12-06|96.0000|97.9400|95.5600|96.8100|3373000
JNJ|1999-12-07|96.9400|97.1900|93.0600|93.3800|5460000
JNJ|1999-12-08|92.8100|93.3100|90.2500|91.2100|4971000
JNJ|1999-12-09|92.0000|94.6300|91.7500|93.2500|4335900
