Symbol|Date|Open|High|Low|Close|Volume
JPM|1999-11-01|86.6200|87.1200|83.3700|83.5600|4510867
JPM|1999-11-02|84.5000|86.2500|83.2500|83.6900|3541600
JPM|1999-11-03|83.6200|84.0000|82.1900|82.4400|2648800
JPM|1999-11-04|83.8800|85.9400|83.5000|84.1200|3869600
JPM|1999-11-05|86.1300|87.3800|85.6200|86.2500|3433267
JPM|1999-11-08|86.3100|86.6200|84.1200|84.3800|2393600
JPM|1999-11-09|84.3100|84.6900|82.0000|83.0600|3235267
JPM|1999-11-10|82.0600|82.2500|80.5600|80.5600|3180067
JPM|1999-11-11|80.8100|82.6200|80.3100|81.1200|2292867
JPM|1999-11-12|82.5600|85.0000|82.5000|85.0000|3423267
JPM|1999-11-15|84.0600|84.8100|82.5000|82.5600|3742000
JPM|1999-11-16|83.3700|86.4400|82.8800|86.0000|4490200
JPM|1999-11-17|85.0600|85.1900|81.6300|81.8700|3606800
JPM|1999-11-18|82.3800|84.1200|81.9400|83.3700|3071600
JPM|1999-11-19|83.5000|84.3800|82.5000|83.0000|1998867
JPM|1999-11-22|82.5000|82.5600|80.6900|81.8700|2514267
JPM|1999-11-23|81.8700|82.2500|79.5000|79.9400|3029267
JPM|1999-11-24|79.7500|79.9400|78.7500|79.5600|2521400
JPM|1999-11-26|80.8800|80.8800|79.0600|79.0600|794200
JPM|1999-11-29|78.8100|78.8100|76.3100|76.9400|3480867
JPM|1999-11-30|76.6200|79.2500|76.5600|77.2500|4031467
JPM|1999-12-01|77.1300|78.0000|76.5600|77.3900|3046200
JPM|1999-12-02|78.0000|79.2500|76.0000|79.0600|3261800
JPM|1999-12-03|80.9400|83.3700|80.8100|82.0000|3844467
JPM|1999-12-06|82.0000|82.0000|77.3700|78.8700|3321667
JPM|1999-12-07|78.5000|79.1900|77.3700|78.6300|3702400
JPM|1999-12-08|78.3800|78.6300|76.8800|77.7200|3171400
JPM|1999-12-09|78.0000|79.3800|76.0600|77.8800|3158800
JPM|1999-12-10|79.6200|79.6200|78.1200|78.9400|3209067
JPM|1999-12-13|78.1200|79.2500|77.7500|78.5300|1701867
JPM|1999-12-14|78.0600|78.0600|76.0600|76.5600|2228000
JPM|1999-12-15|76.5600|77.3700|74.7500|75.5000|3057600
JPM|1999-12-16|76.1900|76.1900|73.8100|75.0000|2703400
JPM|1999-12-17|73.2500|74.8800|72.0600|72.7500|6655667
JPM|1999-12-20|73.3800|73.9400|72.2500|72.2500|4137067
JPM|1999-12-21|72.3800|76.5000|72.1200|75.0000|5240000
JPM|1999-12-22|75.0000|75.6300|74.0000|74.8800|2252267
JPM|1999-12-23|76.2500|77.9400|76.0600|77.5000|2891600
JPM|1999-12-27|77.5000|79.1900|76.5000|76.5000|2541200
JPM|1999-12-28|76.6900|77.3700|76.3100|76.4400|1502200
JPM|1999-12-29|77.1900|78.1900|76.9400|77.5600|1533467
JPM|1999-12-30|77.5600|78.6900|76.7500|78.0600|1277400
JPM|1999-12-31|78.0000|78.3800|77.6900|77.6900|773600
JPM|2000-01-03|74.7500|75.3800|72.1200|72.8700|8012800
JPM|2000-01-04|70.6200|71.1900|69.1900|70.8800|7815600
JPM|2000-01-05|70.2500|72.5600|69.0000|70.4400|5809667
JPM|2000-01-06|70.1200|72.9400|69.7500|71.4400|5579467
JPM|2000-01-07|72.6300|73.5000|71.0000|72.7500|4381267
JPM|2000-01-10|72.7500|73.3800|71.5000|71.5000|3149000
JPM|2000-01-11|70.0000|70.4400|68.2500|69.8100|5603667
JPM|2000-01-12|69.6900|70.8800|69.5000|70.2500|4847867
JPM|2000-01-13|71.1300|72.5000|70.5600|71.3100|4612600
JPM|2000-01-14|73.9400|75.7500|72.8100|73.8800|6487867
JPM|2000-01-18|73.9400|74.5000|70.2500|71.0000|3531067
JPM|2000-01-19|72.2500|75.3800|72.2500|74.1300|10489800
JPM|2000-01-20|75.3800|76.0000|72.7500|74.0600|5180200
JPM|2000-01-21|73.8800|74.0000|72.6300|72.9400|3440400
JPM|2000-01-24|74.3700|74.5600|72.1900|73.0000|4306067
JPM|2000-01-25|73.0000|75.7500|73.0000|74.6200|5053267
