Symbol|Date|Open|High|Low|Close|Volume
AMGN|1999-11-01|80.5000|82.2500|79.8100|80.3100|4964300
AMGN|1999-11-02|80.6900|82.3100|80.3800|81.0600|4538300
AMGN|1999-11-03|82.6900|83.7500|78.4400|78.5600|5830400
AMGN|1999-11-04|79.2500|83.8800|79.1900|83.8100|8207400
AMGN|1999-11-05|85.6300|87.7500|85.0000|85.1300|6776500
AMGN|1999-11-08|84.8800|87.0000|84.0000|85.4400|4977700
AMGN|1999-11-09|87.3800|87.9400|85.5000|85.8800|4668600
AMGN|1999-11-10|86.1300|88.8800|85.6300|87.7500|4785100
AMGN|1999-11-11|88.2500|91.3100|88.2500|90.5000|5527400
AMGN|1999-11-12|91.8800|92.5000|89.0000|91.9400|3690200
AMGN|1999-11-15|92.5000|92.8800|89.6300|89.7500|3249600
AMGN|1999-11-16|90.4400|91.5000|90.0000|91.0000|5680400
AMGN|1999-11-17|90.9400|91.5600|90.0000|91.1300|5000300
AMGN|1999-11-18|91.6900|91.6900|89.5000|91.1900|5338100
AMGN|1999-11-19|91.1300|95.1300|90.7500|94.6900|5699900
AMGN|1999-11-22|47.7500|48.7500|45.7500|48.1900|4762700
AMGN|1999-11-23|49.0600|49.1900|47.0000|47.5600|7793100
AMGN|1999-11-24|47.6300|49.5000|46.6300|49.4400|5368100
AMGN|1999-11-26|50.0000|50.0600|48.8100|49.3800|3638900
AMGN|1999-11-29|49.5600|49.8800|47.0000|48.7500|5844000
AMGN|1999-11-30|47.5000|47.5600|45.0000|45.5600|9557900
AMGN|1999-12-01|45.0000|46.4400|44.0000|44.3100|7485700
AMGN|1999-12-02|44.6300|45.5000|44.2500|44.7500|7278200
AMGN|1999-12-03|45.6900|47.9400|45.1900|46.2500|9474000
AMGN|1999-12-06|46.1300|46.7500|44.0000|45.0000|5201200
AMGN|1999-12-07|45.0500|45.5600|44.0000|44.8100|6460700
AMGN|1999-12-08|44.3800|48.0000|44.2500|45.2500|6491400
AMGN|1999-12-09|46.7500|48.0000|42.6300|44.0000|10458800
AMGN|1999-12-10|44.2500|45.8100|44.1300|44.7500|7321500
AMGN|1999-12-13|45.2500|47.2500|43.7500|46.6300|8103900
AMGN|1999-12-14|47.3100|47.5000|45.2500|46.0600|8081900
AMGN|1999-12-15|45.6300|46.2500|43.9400|45.8800|8709800
AMGN|1999-12-16|45.5000|45.6300|43.5000|44.4400|9175200
AMGN|1999-12-17|45.7500|46.3800|44.7500|45.5600|10599200
AMGN|1999-12-20|45.6300|49.6300|45.1300|48.8800|9173100
AMGN|1999-12-21|49.0000|50.4400|48.6300|50.1300|8224800
AMGN|1999-12-22|50.6700|53.0600|50.2500|52.9400|9230500
AMGN|1999-12-23|54.0000|54.8100|52.7500|54.1900|6669000
AMGN|1999-12-27|54.9400|55.0000|51.1300|53.1900|5246100
AMGN|1999-12-28|55.0600|58.2500|54.8800|57.6900|7643600
AMGN|1999-12-29|58.7500|62.0000|57.5000|61.8100|6529300
AMGN|1999-12-30|63.7500|66.4400|63.5600|64.8800|5499100
AMGN|1999-12-31|65.3800|65.5000|59.8800|60.0600|2610400
AMGN|2000-01-03|70.0000|70.0000|62.8800|62.9400|22914900
AMGN|2000-01-04|62.0000|64.1300|57.6900|58.1300|15052600
AMGN|2000-01-05|59.1900|60.2500|58.2500|59.9400|15071400
AMGN|2000-01-06|60.7500|61.9400|60.2500|61.1300|11118400
AMGN|2000-01-07|62.7500|68.5000|62.6300|68.0000|15953900
AMGN|2000-01-10|69.5000|72.6900|69.5000|72.1300|10555300
AMGN|2000-01-11|72.0600|72.3800|64.1300|66.4400|14103100
AMGN|2000-01-12|67.6300|67.7500|62.5600|63.5600|11576800
AMGN|2000-01-13|64.7500|67.7500|63.8100|66.8100|10552600
AMGN|2000-01-14|68.8800|70.0000|67.3800|68.3100|8971200
AMGN|2000-01-18|70.0000|70.1300|68.2500|69.0600|8658100
AMGN|2000-01-19|70.0000|72.9400|69.8800|72.0000|12070900
AMGN|2000-01-20|74.3800|74.5000|69.6300|71.8100|9460900
AMGN|2000-01-21|73.3800|75.0000|72.0000|74.6900|8154300
AMGN|2000-01-24|75.8800|76.5000|69.1300|69.2500|9853500
AMGN|2000-01-25|70.7500|70.8100|66.0000|69.3800|11251900
AMGN|2000-01-26|67.8800|68.8800|64.0600|64.1300|16000800
AMGN|2000-01-27|65.0000|65.0600|59.1300|61.3800|14797000
AMGN|2000-01-28|61.4400|61.4400|59.3800|59.6900|10899900
AMGN|2000-01-31|61.0000|63.8800|59.8800|63.6900|12619500
AMGN|2000-02-01|64.7500|66.0000|62.7500|65.3100|9902700
AMGN|2000-02-02|65.1300|65.1300|61.8800|63.7500|9976900
AMGN|2000-02-03|64.7500|65.0000|62.3800|64.0000|7613000
AMGN|2000-02-04|64.7500|66.5000|64.1300|64.6300|8069600
AMGN|2000-02-07|66.5000|69.5600|65.1300|69.1900|9190200
AMGN|2000-02-08|70.3800|72.1900|69.1900|70.5000|11108300
AMGN|2000-02-09|71.2500|71.5000|66.6300|66.8100|7774100
AMGN|2000-02-10|67.3800|67.5000|64.5000|65.1900|8880100
AMGN|2000-02-11|65.3100|66.3100|61.9400|62.6300|8105000
AMGN|2000-02-14|63.5600|65.8800|62.3800|65.0600|8794600
AMGN|2000-02-15|65.2500|65.7500|64.1900|65.0600|8358400
AMGN|2000-02-16|65.1300|70.0000|64.7500|69.8800|11654800
AMGN|2000-02-17|70.1900|74.0000|69.9400|72.7500|14842800
AMGN|2000-02-18|74.5000|75.0000|69.9400|71.3100|14959700
AMGN|2000-02-22|71.6900|71.9400|66.3800|67.5000|8657100
AMGN|2000-02-23|68.6900|72.1300|67.1300|71.4400|9098600
AMGN|2000-02-24|72.1300|73.1900|68.4500|72.5600|9630100
AMGN|2000-02-25|73.0000|74.0000|70.1300|73.5600|8556500
AMGN|2000-02-28|72.8800|72.8800|66.5000|68.4400|13264800
AMGN|2000-02-29|70.2500|70.5000|67.1300|68.1900|8593500
AMGN|2000-03-01|67.0000|67.2500|64.8100|65.0600|10212300
AMGN|2000-03-02|65.3100|67.8800|63.0000|65.3100|12075000
AMGN|2000-03-03|66.8800|67.8800|65.0000|66.3100|10481000
AMGN|2000-03-06|66.8800|66.8800|63.3100|64.5600|12645900
AMGN|2000-03-07|65.4400|65.5000|60.5000|61.0000|12739800
AMGN|2000-03-08|63.0000|63.3800|60.6900|61.3800|15595000
AMGN|2000-03-09|61.5600|61.6900|58.8800|59.0000|10935000
AMGN|2000-03-10|60.0000|63.3800|58.7500|59.5600|16043800
AMGN|2000-03-13|58.1900|60.2500|58.0000|58.0000|10081100
AMGN|2000-03-14|59.8800|60.0000|51.0600|52.2500|27589100
AMGN|2000-03-15|57.1900|59.3800|56.0000|58.5000|33529500
AMGN|2000-03-16|62.5000|65.5000|61.1300|64.7500|18216200
AMGN|2000-03-17|64.2500|65.1900|62.1900|63.1300|12260600
AMGN|2000-03-20|62.2500|62.3800|56.9400|58.0000|20278200
AMGN|2000-03-21|58.1300|61.5000|55.1300|61.1300|16598600
AMGN|2000-03-22|61.6900|63.1300|60.0000|61.7500|11226000
AMGN|2000-03-23|58.0000|58.5000|56.8100|57.6900|20064100
AMGN|2000-03-24|58.2500|58.4200|52.7500|54.5600|21633800
AMGN|2000-03-27|55.1300|61.0000|55.1300|60.3800|15924900
