Symbol|Date|Open|High|Low|Close|Volume
PG|1999-11-01|105.1000|108.6000|104.9000|108.0000|2810500
PG|1999-11-02|107.8000|108.4000|106.0000|106.0000|2550100
PG|1999-11-03|106.6000|107.6000|105.3000|106.8000|2503300
PG|1999-11-04|107.3000|107.4000|104.0000|105.3000|2124000
PG|1999-11-05|106.0000|106.8000|105.5000|105.9000|1653100
PG|1999-11-08|105.9000|108.8000|105.6000|108.6000|1654300
PG|1999-11-09|108.6000|108.6000|105.8000|107.5000|1507000
PG|1999-11-10|107.5000|107.8000|105.6000|107.4000|1351800
PG|1999-11-11|107.1000|107.8000|105.1000|106.4000|1723000
PG|1999-11-12|106.5000|107.0000|105.4000|107.0000|1714700
PG|1999-11-15|104.9000|107.5000|104.9000|106.6000|2000500
PG|1999-11-16|107.2000|107.4000|106.0000|107.4000|1784400
PG|1999-11-17|107.1000|109.8000|107.0000|109.0000|1759300
PG|1999-11-18|108.6000|109.7000|108.3000|109.6000|2735600
PG|1999-11-19|109.3000|110.7000|108.3000|110.5000|3128400
PG|1999-11-22|109.9000|111.9000|109.5000|110.8000|2030400
PG|1999-11-23|110.8000|113.1000|110.3000|112.0000|2770400
PG|1999-11-24|112.3000|112.6000|109.9000|112.4000|1993200
PG|1999-11-26|112.4000|113.3000|111.7000|113.0000|731700
PG|1999-11-29|111.9000|112.5000|110.1000|111.5000|1933700
PG|1999-11-30|110.7000|112.8000|108.0000|108.5000|2007700
PG|1999-12-01|108.8000|112.3000|108.6000|112.3000|1910400
PG|1999-12-02|112.3000|112.9000|111.8000|112.5000|1785000
PG|1999-12-03|113.0000|115.6000|112.8000|113.8000|3093900
PG|1999-12-06|113.1000|114.4000|112.8000|113.4000|1852300
PG|1999-12-07|113.4000|113.6000|109.9000|109.9000|2253000
PG|1999-12-08|110.0000|111.3000|109.9000|110.7000|1354400
PG|1999-12-09|110.9000|110.9000|108.4000|109.9000|2234300
PG|1999-12-10|109.3000|111.3000|108.8000|110.4000|1732700
PG|1999-12-13|110.4000|111.3000|108.6000|110.3000|1228700
PG|1999-12-14|109.0000|112.0000|108.8000|111.6000|1492100
PG|1999-12-15|111.6000|114.8000|111.4000|112.6000|2355800
PG|1999-12-16|111.3000|111.4000|108.4000|109.9000|1981600
PG|1999-12-17|109.9400|109.9400|106.0000|106.2500|4758400
PG|1999-12-20|106.5000|109.2000|106.3000|107.6000|2273900
PG|1999-12-21|106.1000|106.6000|103.5000|104.5000|2746600
PG|1999-12-22|104.8000|109.0000|104.7000|109.0000|1860300
PG|1999-12-23|109.0000|109.6000|108.4000|109.5000|1279800
PG|1999-12-27|109.5000|111.3000|108.6000|111.2000|1566500
PG|1999-12-28|111.0000|111.7000|109.6000|109.8000|998900
PG|1999-12-29|111.6000|111.6000|108.6000|109.4000|708400
PG|1999-12-30|109.6000|110.5000|109.0000|109.6000|710100
PG|1999-12-31|109.8000|109.9000|108.8000|109.6000|307100
PG|2000-01-03|107.8000|107.9000|107.1000|107.2000|2137500
PG|2000-01-04|106.4000|108.4000|103.8000|105.1000|2135400
PG|2000-01-05|104.9000|105.4000|103.0000|104.2000|2549200
PG|2000-01-06|105.1000|109.4000|105.1000|107.9000|3262100
PG|2000-01-07|109.6000|117.0000|109.2000|116.5000|4916000
PG|2000-01-10|115.8000|117.3000|114.4000|115.9000|3431000
PG|2000-01-11|115.4000|117.8000|114.4000|117.8000|2210900
PG|2000-01-12|116.6000|118.4000|116.1000|117.0000|3115800
PG|2000-01-13|116.9000|117.0000|114.6000|115.0000|2642600
PG|2000-01-14|115.5000|117.0000|115.4000|117.0000|2452200
PG|2000-01-18|116.9000|118.0000|116.1000|116.9000|2228400
PG|2000-01-19|114.0000|116.0000|113.6000|115.4000|2776700
PG|2000-01-20|114.0000|114.3000|107.6000|112.6000|5115900
PG|2000-01-21|112.6000|112.6000|99.5000|102.7000|12189400
PG|2000-01-24|96.0000|108.8800|94.8100|96.0000|14277300
PG|2000-01-25|103.6000|103.7000|97.0000|97.5000|8548900
PG|2000-01-26|99.0000|100.8000|98.8100|100.6000|5121600
PG|2000-01-27|102.0000|104.4000|101.2000|104.1000|4494500
PG|2000-01-28|103.7000|103.7000|99.3800|100.3000|4791700
PG|2000-01-31|100.3000|101.1000|98.3800|101.1000|2259100
PG|2000-02-01|100.7000|100.9000|98.7500|99.5000|2022100
PG|2000-02-02|99.7500|99.9400|98.3800|98.6300|1960400
PG|2000-02-03|99.8100|99.8100|96.6900|97.8100|3129800
PG|2000-02-04|97.6300|97.6900|94.0000|94.7500|3823900
PG|2000-02-07|94.0000|94.8100|92.5600|93.2500|3232200
PG|2000-02-08|94.0000|95.8800|92.8100|95.7500|3393900
PG|2000-02-09|95.2500|95.8800|93.7500|94.0000|3127900
PG|2000-02-10|93.7500|94.6900|90.0600|91.4400|2633900
PG|2000-02-11|91.3100|93.9400|91.3100|93.7500|2667500
PG|2000-02-14|93.6900|93.8100|91.0000|91.8800|2626100
PG|2000-02-15|92.5000|95.8100|92.1300|95.7500|3432000
PG|2000-02-16|95.8100|96.2500|93.0000|94.0500|2657300
PG|2000-02-17|94.0000|95.0000|93.0000|94.1900|2341200
PG|2000-02-18|93.8100|94.4400|92.0000|93.6300|2325800
PG|2000-02-22|92.3100|93.4400|90.0600|92.8800|2613400
PG|2000-02-23|92.8800|92.8800|90.1300|90.6300|2678500
PG|2000-02-24|90.3800|90.8800|86.5600|88.5000|3611600
PG|2000-02-25|88.7500|89.0000|85.1300|85.1300|3588600
PG|2000-02-28|85.8100|90.0000|85.0000|88.3800|3540800
PG|2000-02-29|89.5000|89.8800|87.2500|87.8800|3330900
