Symbol|Date|Open|High|Low|Close|Volume
SHW|1999-11-01|22.2500|22.5600|21.6300|22.0000|714900
SHW|1999-11-02|22.1300|23.1300|22.1300|22.6300|890000
SHW|1999-11-03|22.6300|23.0000|22.3100|22.5600|664800
SHW|1999-11-04|22.6300|23.0600|22.1900|22.3800|446100
SHW|1999-11-05|22.3100|22.6900|22.0600|22.0600|659100
SHW|1999-11-08|22.1900|22.6300|22.1900|22.5000|227500
SHW|1999-11-09|22.5000|23.1300|22.3800|22.8100|467300
SHW|1999-11-10|22.6300|22.9400|22.4400|22.8800|370000
SHW|1999-11-11|22.8100|23.1300|22.1900|22.1900|302700
SHW|1999-11-12|22.3800|22.7500|21.7500|22.0000|712200
SHW|1999-11-15|22.0000|22.6300|21.2500|22.2500|731000
SHW|1999-11-16|22.2500|22.3800|21.7500|21.7500|918400
SHW|1999-11-17|21.7500|22.0000|21.3100|21.3800|1138200
SHW|1999-11-18|21.5000|21.6300|20.8800|21.0000|741900
SHW|1999-11-19|21.0000|21.7500|21.0000|21.5000|588600
SHW|1999-11-22|21.5000|22.0000|21.2500|21.5600|659300
SHW|1999-11-23|21.6300|22.0000|21.1300|21.9400|905500
SHW|1999-11-24|22.0000|22.0000|21.3100|21.3800|1172600
SHW|1999-11-26|21.4400|21.9400|21.0600|21.5600|281100
SHW|1999-11-29|21.6300|21.8100|20.9400|21.4400|716600
SHW|1999-11-30|21.3800|21.7500|21.0000|21.2500|622800
SHW|1999-12-01|21.2500|21.3100|20.3100|20.3100|1018800
SHW|1999-12-02|20.3800|21.1300|20.3100|20.9400|954600
SHW|1999-12-03|21.1900|21.9400|21.1900|21.9400|750000
SHW|1999-12-06|21.5000|21.5600|21.0600|21.1300|910900
SHW|1999-12-07|21.0000|21.5600|21.0000|21.1300|592300
SHW|1999-12-08|21.2500|21.7500|21.0600|21.0600|854700
SHW|1999-12-09|21.1900|21.1900|20.4400|20.4400|600200
SHW|1999-12-10|20.3800|20.3800|19.6300|20.0000|745700
SHW|1999-12-13|19.7500|20.0000|18.8800|19.0000|1063800
SHW|1999-12-14|19.2500|20.0000|18.8800|19.5600|888600
SHW|1999-12-15|20.1300|20.3100|19.2500|19.8100|1188700
SHW|1999-12-16|19.8100|20.0600|19.1300|20.0600|981100
SHW|1999-12-17|19.8100|20.3800|19.8100|19.8800|1478500
SHW|1999-12-20|20.1300|20.1300|19.5000|19.5000|593900
SHW|1999-12-21|19.3100|19.9400|19.2500|19.6300|513100
SHW|1999-12-22|19.6300|19.6900|18.7500|19.0600|1129500
SHW|1999-12-23|19.6300|20.1900|19.5000|20.0600|462400
SHW|1999-12-27|20.0600|21.2500|19.9400|20.1900|1075100
SHW|1999-12-28|20.1900|20.9400|20.1900|20.1900|453800
SHW|1999-12-29|20.1900|20.8800|20.1900|20.5600|284900
SHW|1999-12-30|20.7500|20.7500|20.1300|20.1900|388300
SHW|1999-12-31|20.3100|21.0000|20.2500|21.0000|307400
SHW|2000-01-03|20.7500|20.8100|20.1300|20.1300|574100
SHW|2000-01-04|20.0000|20.0600|18.8800|19.3800|646800
SHW|2000-01-05|19.4400|19.8100|19.3800|19.5600|622800
SHW|2000-01-06|20.0600|20.2500|19.5600|19.7500|583600
SHW|2000-01-07|19.6300|20.0600|19.1300|19.5000|949500
SHW|2000-01-10|19.5000|20.0000|19.0600|19.0600|1067900
SHW|2000-01-11|19.3800|19.6900|19.2500|19.3100|1181500
SHW|2000-01-12|19.3800|19.7500|19.2500|19.3100|709000
SHW|2000-01-13|19.3100|19.3800|19.0000|19.1300|813500
SHW|2000-01-14|19.3100|19.3800|18.7500|18.8800|937800
SHW|2000-01-18|18.6300|18.8800|18.2500|18.5600|691400
SHW|2000-01-19|18.5600|18.6900|18.3100|18.3800|642000
SHW|2000-01-20|18.3800|18.3800|17.3800|17.6300|858700
SHW|2000-01-21|18.0000|18.2500|17.6900|17.8800|1121300
SHW|2000-01-24|17.8800|18.3100|17.6600|17.9400|651600
SHW|2000-01-25|17.8800|18.4400|17.6300|18.0000|835000
SHW|2000-01-26|18.0000|18.3800|17.7500|17.8100|526000
SHW|2000-01-27|17.8100|18.1900|17.6900|17.9400|501700
SHW|2000-01-28|17.8800|17.9400|17.4400|17.4400|476100
SHW|2000-01-31|17.4400|18.1300|17.3800|17.6300|668900
SHW|2000-02-01|17.5000|18.5000|17.5000|18.4400|746000
SHW|2000-02-02|18.2500|18.3800|17.4400|17.5000|1205500
SHW|2000-02-03|17.6300|19.6900|17.1300|19.6300|2110800
SHW|2000-02-04|20.1300|20.6900|20.1300|20.1300|1715100
SHW|2000-02-07|20.1900|20.1900|20.0000|20.1900|577100
SHW|2000-02-08|20.0000|20.0000|19.1300|19.3800|710700
SHW|2000-02-09|19.3800|19.4400|18.7500|19.1900|763500
SHW|2000-02-10|19.1900|19.6900|19.1300|19.3800|450400
SHW|2000-02-11|19.3800|19.4400|18.5600|18.6900|492800
SHW|2000-02-14|19.0000|19.1300|18.5600|18.9400|735400
SHW|2000-02-15|19.0000|20.0000|18.9400|20.0000|1031700
SHW|2000-02-16|20.0000|20.0000|19.3800|19.6300|464200
SHW|2000-02-17|19.6300|20.3800|19.5600|20.2500|618800
SHW|2000-02-18|20.0600|20.1900|19.5600|19.8100|723800
SHW|2000-02-22|19.9400|20.0000|19.6900|19.8800|542000
SHW|2000-02-23|20.1300|20.1300|19.3800|20.0000|888100
SHW|2000-02-24|19.7500|19.7500|19.0000|19.1900|620900
SHW|2000-02-25|19.3800|19.7500|18.9400|19.0600|931400
SHW|2000-02-28|19.0600|19.5600|19.0600|19.1300|637300
SHW|2000-02-29|19.5000|19.5000|19.0000|19.1300|551900
SHW|2000-03-01|19.6300|19.6300|19.1300|19.3800|488300
SHW|2000-03-02|19.3800|19.6900|18.8100|19.0600|629600
SHW|2000-03-03|18.9400|20.5000|18.8800|19.9400|610900
SHW|2000-03-06|19.6900|19.8100|18.9400|19.0600|496600
SHW|2000-03-07|19.3100|19.3100|18.5600|18.8100|703800
SHW|2000-03-08|18.8100|19.2800|18.3100|18.7500|1095500
SHW|2000-03-09|18.5000|19.1300|18.3800|18.8800|422100
SHW|2000-03-10|19.1300|19.3800|18.8800|18.9400|554900
SHW|2000-03-13|18.7500|19.1300|18.5000|19.1300|415200
SHW|2000-03-14|19.0000|19.2500|18.6900|18.8100|811900
SHW|2000-03-15|19.0000|20.9400|18.8100|20.6300|729700
SHW|2000-03-16|20.6300|23.0000|20.6300|22.8800|965300
SHW|2000-03-17|22.7500|22.8100|21.5000|21.7500|786000
SHW|2000-03-20|21.8800|22.3800|21.6900|21.8800|392800
SHW|2000-03-21|21.8800|22.4400|21.8100|22.2500|458100
SHW|2000-03-22|22.3800|22.3800|21.2500|21.3800|545100
SHW|2000-03-23|22.1300|22.3100|21.6900|21.9400|954300
SHW|2000-03-24|22.5000|22.8800|21.9400|22.3100|1362700
SHW|2000-03-27|22.3100|22.5000|21.8100|21.9400|1028100
SHW|2000-03-28|21.9400|22.4400|21.6300|22.3100|605100
SHW|2000-03-29|22.2500|22.4400|22.0000|22.1900|703700
SHW|2000-03-30|21.8800|22.2500|21.6300|21.9400|962700
SHW|2000-03-31|22.0600|22.5000|21.9400|22.1300|681700
SHW|2000-04-03|21.9400|22.5000|21.8800|22.2500|571900
SHW|2000-04-04|22.0600|22.6300|21.1900|22.0600|838500
SHW|2000-04-05|22.0000|23.7500|21.9400|23.5600|1296600
SHW|2000-04-06|24.0000|24.9400|23.6900|23.9400|1083000
SHW|2000-04-07|24.0000|24.0000|23.3800|23.3800|431000
SHW|2000-04-10|23.6300|24.7500|23.5600|24.6300|378300
SHW|2000-04-11|24.6300|25.6300|24.5600|25.1900|1005200
SHW|2000-04-12|25.1900|27.6300|25.1900|26.8800|1411000
SHW|2000-04-13|26.8100|26.8100|26.1900|26.2500|1121500
SHW|2000-04-14|26.0600|26.1300|25.1300|25.3100|565700
SHW|2000-04-17|25.4400|26.1900|25.0000|26.1900|727000
SHW|2000-04-18|26.1900|26.2500|25.0600|25.2500|533600
SHW|2000-04-19|25.8800|25.8800|24.8800|25.0000|413700
SHW|2000-04-20|24.6300|26.0000|24.6300|25.8800|511300
SHW|2000-04-24|26.3100|26.9400|25.5000|26.1300|392200
SHW|2000-04-25|27.0000|27.3800|26.0000|27.0000|759800
SHW|2000-04-26|26.0000|26.3800|25.5000|25.9400|589600
