Symbol|Date|Open|High|Low|Close|Volume
V|2008-03-19|59.5000|69.0000|55.0000|56.5000|177121500
V|2008-03-20|58.4700|65.0000|57.5000|64.3500|49746300
V|2008-03-24|67.2400|67.7000|59.0000|59.7300|37391600
V|2008-03-25|60.6300|64.2500|59.8200|63.2500|21773000
V|2008-03-26|62.5000|64.4800|61.5700|63.9600|10777900
V|2008-03-27|64.0500|64.7400|62.6500|62.9100|9957400
V|2008-03-28|63.1000|63.4400|62.1600|62.7600|6168800
V|2008-03-31|62.7000|63.4800|62.0500|62.3600|5539300
V|2008-04-01|63.0000|63.6800|60.3100|61.6100|15102700
V|2008-04-02|61.7900|62.3200|60.5000|62.3200|10959100
V|2008-04-03|61.9300|66.2900|61.8200|65.5000|25217000
V|2008-04-04|64.8700|65.3200|63.7500|64.4800|9098600
V|2008-04-07|65.0200|65.8000|64.0200|65.0400|7075400
V|2008-04-08|65.2000|68.2400|64.8100|68.0900|13481400
V|2008-04-09|68.3500|68.7200|65.6100|65.7900|12081100
V|2008-04-10|66.6700|66.7300|65.1100|66.1100|5593000
V|2008-04-11|65.2500|66.7700|65.2500|66.1100|6605400
V|2008-04-14|66.9800|67.2400|65.5300|65.6800|7110900
V|2008-04-15|66.5400|66.5500|64.0000|64.3500|5972000
V|2008-04-16|65.0000|66.9500|64.5600|66.1400|6284200
V|2008-04-17|66.4700|67.7500|66.0100|67.0400|5614900
V|2008-04-18|68.1000|70.4470|67.2000|69.0000|26024900
V|2008-04-21|69.7000|72.5000|68.8500|70.9700|14712000
V|2008-04-22|72.1000|72.4000|70.0000|70.2800|11839400
V|2008-04-23|71.1500|71.7000|69.6900|70.0800|9329900
V|2008-04-24|71.2000|72.9900|70.0400|72.3000|9521700
V|2008-04-25|76.0000|76.0800|73.9100|75.1000|25365000
V|2008-04-28|76.2200|77.2900|74.9000|75.6300|33129300
V|2008-04-29|73.2800|80.8800|71.0000|80.8800|49327100
V|2008-04-30|81.2100|84.8100|81.0700|83.4500|36885900
V|2008-05-01|84.6800|87.6400|83.9000|85.4000|29098900
V|2008-05-02|87.2500|87.5000|81.0000|82.7500|34162200
V|2008-05-05|82.8500|85.5000|80.8200|85.0600|17594300
V|2008-05-06|85.3900|88.1500|84.7500|87.5300|18978300
V|2008-05-07|88.9900|89.8400|87.6600|88.5000|25116200
V|2008-05-08|89.5000|89.7500|85.9400|87.3000|23209100
V|2008-05-09|85.7700|86.6699|82.5200|82.8600|23578000
V|2008-05-12|83.7300|84.4800|78.1000|81.9000|36867900
V|2008-05-13|81.7500|83.5000|80.7900|82.3800|13312400
V|2008-05-14|83.3400|84.3500|81.4500|82.2300|12850100
V|2008-05-15|82.4500|82.9300|81.1100|82.2500|9172200
V|2008-05-16|82.7100|82.8500|81.2600|82.3700|8516700
V|2008-05-19|82.3100|84.7400|82.1500|83.3200|11368300
V|2008-05-20|82.8800|83.8400|81.9100|82.7400|10175500
V|2008-05-21|82.3800|83.4300|80.5200|80.8500|10457900
V|2008-05-22|80.5700|80.6000|76.1600|77.3100|21320900
V|2008-05-23|75.7900|77.3100|75.1200|76.3500|10549100
V|2008-05-27|76.9200|78.9400|74.3600|78.7400|15694100
V|2008-05-28|80.2900|81.9500|79.5500|81.9200|13249000
V|2008-05-29|83.2800|86.9500|83.0100|85.2500|25153300
V|2008-05-30|86.0100|87.5600|85.8100|86.3600|18004000
V|2008-06-02|86.2100|86.9500|84.6000|86.0700|9214000
V|2008-06-03|87.0100|87.9500|86.0300|87.5600|12102900
V|2008-06-04|87.0800|88.1000|85.2800|85.4800|10171100
V|2008-06-05|86.4600|87.2400|85.5900|87.2400|6764900
V|2008-06-06|85.9000|85.9900|83.5500|83.6500|10437000
V|2008-06-09|84.0000|84.9500|80.5600|82.1400|11310000
V|2008-06-10|80.0500|82.8700|79.6100|80.3100|9012100
V|2008-06-11|81.0000|81.0000|77.6000|77.7400|14249100
V|2008-06-12|78.9500|80.7700|78.5500|79.5600|11151400
V|2008-06-13|80.1500|81.8100|80.1500|81.5300|7672300
V|2008-06-16|81.3400|83.5000|81.1000|83.2700|8596000
V|2008-06-17|84.1000|84.9800|83.6800|84.6700|8319400
V|2008-06-18|83.7000|84.7000|83.4400|83.8600|8431000
V|2008-06-19|83.4800|84.4000|81.6201|84.2700|9231300
V|2008-06-20|83.3299|84.5000|82.7500|83.5700|10636700
V|2008-06-23|83.8100|84.3500|81.0200|81.0600|7535300
V|2008-06-24|80.0600|82.9400|78.5100|82.6600|12472800
V|2008-06-25|83.3600|84.4200|81.8600|82.0600|12677900
V|2008-06-26|80.6000|80.7400|78.0200|79.1000|19140700
V|2008-06-27|78.8000|82.8700|78.5500|82.6000|44005700
V|2008-06-30|82.0000|82.8400|80.3000|81.3100|12325300
V|2008-07-01|79.2000|81.4100|79.2000|81.4100|11230400
V|2008-07-02|81.9000|82.4000|79.3000|79.4200|8451000
V|2008-07-03|79.3600|79.8100|77.2500|78.0700|7184700
V|2008-07-07|78.5000|79.9400|74.0000|75.6200|19986100
V|2008-07-08|74.8900|79.5000|72.2500|79.0600|23949100
V|2008-07-09|79.0000|79.1000|75.4000|75.8700|13830500
V|2008-07-10|75.7600|77.6200|73.8900|77.2500|13203000
V|2008-07-11|75.6000|77.4500|74.0000|74.5500|13661300
V|2008-07-14|75.6000|76.1800|72.5000|72.5800|10669900
V|2008-07-15|71.2600|71.3100|67.2900|68.4200|21067200
V|2008-07-16|68.3300|72.5600|66.5100|72.2300|23112200
V|2008-07-17|73.7000|75.0600|71.3500|75.0600|16817200
V|2008-07-18|74.2400|74.4900|72.1200|73.4000|11658000
V|2008-07-21|73.9100|74.9400|71.5700|71.9000|13234300
V|2008-07-22|69.6000|74.2300|67.9000|74.0500|16352000
V|2008-07-23|73.5000|75.0000|72.6000|73.2500|12485700
V|2008-07-24|72.9200|73.7300|69.9600|70.0800|9156400
V|2008-07-25|70.5400|72.3500|69.0700|71.9600|9672700
V|2008-07-28|72.4100|73.6000|70.2500|70.5500|8924800
V|2008-07-29|71.0300|75.9700|71.0100|75.9700|12260100
V|2008-07-30|77.2500|78.9000|74.2700|78.4500|19022300
V|2008-07-31|76.2200|78.1500|71.4900|73.0600|37222200
V|2008-08-01|73.3000|74.1000|70.3500|71.7300|15428900
V|2008-08-04|71.7600|73.6000|71.5000|72.5000|10671500
V|2008-08-05|73.2000|74.2300|72.3200|73.6000|8588700
V|2008-08-06|72.8000|72.8100|71.0700|71.4800|10231000
V|2008-08-07|70.7800|71.2500|69.3400|69.5000|10961800
V|2008-08-08|69.7700|72.8500|69.1100|72.6000|9088600
V|2008-08-11|72.4400|76.5000|71.9500|74.7900|13822300
V|2008-08-12|74.2000|74.8000|72.6000|72.8000|8433600
V|2008-08-13|72.7500|74.1700|72.4800|73.9300|7481200
V|2008-08-14|73.8700|75.7900|73.6000|75.7800|6459800
V|2008-08-15|75.9900|76.5300|74.8300|75.7900|6500800
V|2008-08-18|75.6200|76.2500|74.1400|74.9400|6462600
V|2008-08-19|74.4500|75.2400|73.6100|73.7400|5276200
V|2008-08-20|74.1000|74.7100|73.6600|74.5700|4529700
V|2008-08-21|73.9600|74.6400|73.1900|74.3800|3886200
V|2008-08-22|75.3600|75.7900|73.8400|74.0900|5238900
V|2008-08-25|73.5200|74.8900|73.1300|73.3200|4509900
V|2008-08-26|73.6700|74.3000|72.8700|73.3400|4666800
V|2008-08-27|73.0300|74.5000|72.8500|74.4500|4785400
V|2008-08-28|74.7500|75.8100|74.1700|75.6500|6685300
V|2008-08-29|74.9600|76.0000|74.7000|75.9000|4831600
V|2008-09-02|76.8300|77.5000|74.3900|74.9900|7474600
V|2008-09-03|74.5600|75.3400|72.0700|73.0500|8850200
V|2008-09-04|72.5200|72.6300|69.7500|70.5000|9417500
V|2008-09-05|69.9700|71.9800|69.2500|71.7600|10154200
V|2008-09-08|73.5100|74.2900|68.6800|70.1000|14167400
V|2008-09-09|70.3500|70.3500|67.1800|67.4900|12470500
V|2008-09-10|67.2700|69.9000|66.6300|69.0400|10984200
V|2008-09-11|67.4100|71.3600|67.0500|70.9500|11783000
V|2008-09-12|69.9300|71.6600|69.2500|71.6500|7060100
V|2008-09-15|68.6600|70.9800|68.2600|69.3800|9683600
V|2008-09-16|66.6200|68.9600|65.0000|66.3500|20899100
V|2008-09-17|65.8100|67.9500|64.0100|64.0900|16884200
V|2008-09-18|64.2000|67.2400|58.3800|66.9000|21047300
V|2008-09-19|71.0100|71.1600|67.0400|69.5700|17235400
V|2008-09-22|68.9200|68.9900|64.9000|65.1800|11566600
V|2008-09-23|65.8500|67.4700|64.1100|66.9000|10950900
V|2008-09-24|67.0500|67.7200|65.5000|65.6800|6133100
V|2008-09-25|65.7500|66.4700|64.5400|64.6000|5973800
V|2008-09-26|62.7300|63.4000|60.8000|62.0400|12792800
V|2008-09-29|60.3000|60.4800|55.8900|57.8000|19609800
V|2008-09-30|56.3800|61.4300|56.3800|61.3900|9680100
V|2008-10-01|60.7500|62.1000|59.2100|61.3100|6763500
V|2008-10-02|61.4900|61.4900|57.3105|57.5900|8804000
V|2008-10-03|59.0700|60.1700|56.3100|56.8400|14588900
V|2008-10-06|53.4200|56.0200|50.2500|55.3800|21840200
V|2008-10-07|56.0000|56.4400|50.6200|51.1500|18961400
V|2008-10-08|49.0100|54.4300|47.7500|52.6300|18802600
V|2008-10-09|53.7900|55.9400|49.4100|49.8500|10634400
